,AVG
ALFA,1322.4440153861362
APPL,1959.3966130908161
BERM,
BLUE,680.2557512368866
BROC,880.2321944594369
CABG,2265.2155645161292
CANA,
CHER,3123.7004479587713
COLG,2619.5558656278195
CORN,2827.3458043611204
CRRT,3575.325067799613
CUCM,860.131659352339
DRYB,1081.263610217459
FESC,11961.1639820419
FRSD,
FRSE,
FRST,
GRAP,2116.054854617136
HAY,453.01378495741403
HMEL,1226.685006048387
KALE,2458.501217442516
LETT,1041.3513909518804
ONIO,866.2747362741209
PEAR,2433.3263271854407
POTA,4915.406444708802
PUMP,1061.7851431451609
RASP,1994.876222649543
SCRN,926.905048085946
SGBT,
SNPB,1012.8430477546058
SOYB,932.1490544340716
SPIN,3426.446689601814
SPOT,1109.1779509917367
SQUA,935.7904536290324
STRW,612.5476910315496
SWRN,13397.680595366965
TOMA,475.9147220962391
WATR,
WETF,
WETN,
WWHT,1110.3601433691754
