,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,AVG
ALFA,2095.3129843196757,2475.665054151624,1609.7334041476984,2141.999884476534,1739.1179059180574,2121.8745306859205,1656.377921092565,2394.1031732851984,1837.3243449671222,2404.7340361010833,2047.6243239145479
APPL,6397.106666666667,4419.136666666666,3288.2533333333326,5228.78,5601.776666666668,5864.913333333333,5207.686666666667,5634.936666666666,5617.18,3660.65,5092.042
BERM,1110.4785598802396,977.8229655688623,1111.5258338323354,995.2168907185629,817.8892170658684,1021.0617155688623,1967.861850299401,1726.8509311377247,1124.1575673652694,1315.2471766467067,1216.8112708083834
BLUE,793.7633333333333,906.86,967.2699999999999,797.7633333333333,659.0466666666666,968.38,644.5866666666667,730.1766666666666,675.8299999999999,793.2733333333334,793.6949999999999
BROC,2649.06,2292.08,2272.75,2346.72,1402.81,1519.69,1618.65,2948.29,2084.1,1841.64,2097.5789999999997
CABG,5229.17,4230.19,4571.05,5165.59,2996.85,4730.94,4049.57,5327.79,5017.38,3941.13,4525.9659999999985
CHER,9166.900000000001,7242.379999999999,4931.735000000001,6739.700000000001,8452.85,8728.16,7917.465,7688.71,7956.975,6372.4,7519.727499999999
COLG,862.38,1445.2800000000002,1323.8600000000001,893.67,608.085,1273.54,911.915,1110.74,713.31,1329.225,1047.2005000000001
CORN,10723.979693922169,8045.425356673961,6116.666383909051,8894.632525164114,9792.50323567993,9775.869894967178,8814.352461740273,10757.81484463895,10028.241526016616,6897.422026258205,8984.690794897044
CRRT,10560.35,9545.07,8701.58,7935.14,9330.3,9401.82,9607.62,9190.14,9071.87,9360.68,9270.457
CUCM,2317.64,2469.15,2693.84,2679.42,1761.35,2512.98,2566.99,1896.66,2721.86,2252.44,2387.2329999999997
DRYB,1451.4966666666667,1390.2700000000002,1447.3333333333333,1422.3400000000001,1349.3166666666668,1382.6733333333334,1430.0466666666664,1406.5566666666666,1540.2933333333333,1374.2833333333335,1419.461
FESC,12915.396102494944,13796.153297370196,14941.828233310856,15609.568921105867,16308.053978422118,17058.931031692515,17809.874200944032,18680.74756574511,18183.602076871208,19088.073351314903,16439.222875927175
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,3215.695,2609.4700000000003,2587.48,2398.895,2895.49,3006.865,2015.94,2884.54,2460.625,2503.285,2657.8285
HAY,1196.4762643080126,914.0131113423519,712.4281763787722,923.0783975026015,1117.6267793964619,1100.3876612903225,830.5633662851197,997.8450650364204,979.7612122788762,904.41360301769,967.659363683663
HMEL,3672.486666666666,5345.296666666666,6443.743333333333,5926.716666666666,5712.403333333333,7070.036666666667,4258.576666666667,6138.94,5633.28,5552.693333333334,5575.417333333334
KALE,4866.99,2638.02,2810.9,3138.32,5770.7,4502.8,1513.38,3805.2,4375.06,2974.49,3639.5860000000002
LETT,8704.1625,6446.1475,5003.1025,7057.7025,8042.5125,8597.61,5406.59,8694.975,7650.33,4634.865,7023.79975
ONIO,6794.73,5573.86,5414.66,6492.79,6105.51,4700.66,2471.4,3135.58,2502.33,4151.8,4734.332000000001
PEAR,3806.96,2294.67,2155.06,1549.77,3796.14,4254.5,1050.98,2753.78,2562.94,2221.11,2644.5909999999994
POTA,3877.66,2680.13,2488.08,1081.81,5749.17,6680.98,2857.23,4124.84,3568.16,3221.24,3632.9299999999994
PUMP,2189.43,2397.88,2174.09,2451.39,1711.25,2387.36,2322.2,2426.99,1857.23,2136.27,2205.4089999999997
RASP,1079.1750000000002,1108.82,1484.7350000000001,378.51500000000004,771.26,1585.275,463.57,742.49,754.25,655.255,902.3344999999999
SCRN,4817.89,4253.11,5601.3,4799.98,3728.55,6032.16,3056.99,4182.46,4333.32,3704.87,4451.063
SNPB,1333.13,1371.14,1464.15,1390.99,1247.25,1420.54,1299.81,1402.16,1474.0,1346.68,1374.9850000000001
SOYB,1956.3644280266922,1812.8597666666667,1190.704242135367,1614.6937523809522,1833.2371639656815,2016.2377904761902,1822.722044804576,1928.3939095238095,1930.677373689228,1488.7200714285714,1759.4610543097733
SPIN,1477.1,1417.7,2010.75,717.87,987.01,1463.78,1022.16,1289.39,797.85,4325.12,1550.873
SPOT,6278.4,4337.85,4693.15,4018.47,6536.47,6463.73,3342.89,4989.0,5561.6,3243.4,4946.496
SQUA,2867.78,2633.63,2662.44,2732.48,1878.56,2369.09,2353.85,2510.13,2672.15,2737.44,2541.755
STRW,5905.24,4589.16,4338.65,4608.37,5371.94,5677.41,3482.55,5690.53,5566.05,4245.97,4947.587
SWRN,10135.048633540373,11311.854440993788,12876.975434782607,12998.986614906833,13248.429565217391,13828.752546583852,14116.06602484472,14834.162701863355,15012.014099378885,15727.963726708076,13409.025378881988
TOMA,5592.3550000000005,4471.4,5185.75,4473.045,4548.884999999999,6148.054999999999,1747.1200000000001,2508.105,5290.0,3403.41,4336.8125
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWHT,1746.5969696969698,1189.385,1214.855,1689.6419696969697,1511.6519696969697,1566.7351515151513,1551.3881818181817,1488.268181818182,1585.262878787879,1522.5092424242428,1506.6294545454546
