YEAR,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,AVG
ALFA,3685.409975,6267.066404,3456.375488,4508.837809,3203.238574,4708.919267,3169.65607,5256.246664,3656.00087,5686.537271,4359.828839
APPL,6397.106667,4419.136667,3288.253333,5228.78,5601.776667,5864.913333,5207.686667,5634.936667,5617.18,3660.65,5092.042
BLUE,793.7633333,906.86,967.27,797.7633333,659.0466667,968.38,644.5866667,730.1766667,675.83,793.2733333,793.695
BROC,2649.06,2292.08,2272.75,2346.72,1402.81,1519.69,1618.65,2948.29,2084.1,1841.64,2097.579
CABG,5229.17,4230.19,4571.05,5165.59,2996.85,4730.94,4049.57,5327.79,5017.38,3941.13,4525.966
CHER,9166.9,7242.38,4931.735,6739.7,8452.85,8728.16,7917.465,7688.71,7956.975,6372.4,7519.7275
COLG,862.38,1445.28,1323.86,893.67,608.085,1273.54,911.915,1110.74,713.31,1329.225,1047.2005
CORN,10723.97969,8045.425357,6116.666384,8894.632525,9792.503236,9775.869895,8814.352462,10757.81484,10028.24153,6897.422026,8984.690795
CRRT,10560.35,9545.07,8701.58,7935.14,9330.3,9401.82,9607.62,9190.14,9071.87,9360.68,9270.457
CUCM,2317.64,2469.15,2693.84,2679.42,1761.35,2512.98,2566.99,1896.66,2721.86,2252.44,2387.233
DRYB,1451.496667,1390.27,1447.333333,1422.34,1349.316667,1382.673333,1430.046667,1406.556667,1540.293333,1374.283333,1419.461
KALE,4866.99,2638.02,2810.9,3138.32,5770.7,4502.8,1513.38,3805.2,4375.06,2974.49,3639.586
GRAP,3215.695,2609.47,2587.48,2398.895,2895.49,3006.865,2015.94,2884.54,2460.625,2503.285,2657.8285
HMEL,3672.486667,5345.296667,6443.743333,5926.716667,5712.403333,7070.036667,4258.576667,6138.94,5633.28,5552.693333,5575.417333
LETT,8704.1625,6446.1475,5003.1025,7057.7025,8042.5125,8597.61,5406.59,8694.975,7650.33,4634.865,7023.79975
ONIO,6794.73,5573.86,5414.66,6492.79,6105.51,4700.66,2471.4,3135.58,2502.33,4151.8,4734.332
PEAR,3806.96,2294.67,2155.06,1549.77,3796.14,4254.5,1050.98,2753.78,2562.94,2221.11,2644.591
POTA,3877.66,2680.13,2488.08,1081.81,5749.17,6680.98,2857.23,4124.84,3568.16,3221.24,3632.93
PUMP,2189.43,2397.88,2174.09,2451.39,1711.25,2387.36,2322.2,2426.99,1857.23,2136.27,2205.409
RASP,1079.175,1108.82,1484.735,378.515,771.26,1585.275,463.57,742.49,754.25,655.255,902.3345
SCRN,4817.89,4253.11,5601.3,4799.98,3728.55,6032.16,3056.99,4182.46,4333.32,3704.87,4451.063
SOYB,1956.364428,1812.859767,1190.704242,1614.693752,1833.237164,2016.23779,1822.722045,1928.39391,1930.677374,1488.720071,1759.461054
SPIN,1477.1,1417.7,2010.75,717.87,987.01,1463.78,1022.16,1289.39,797.85,4325.12,1550.873
SPOT,6278.4,4337.85,4693.15,4018.47,6536.47,6463.73,3342.89,4989,5561.6,3243.4,4946.496
SQUA,2867.78,2633.63,2662.44,2732.48,1878.56,2369.09,2353.85,2510.13,2672.15,2737.44,2541.755
STRW,5905.24,4589.16,4338.65,4608.37,5371.94,5677.41,3482.55,5690.53,5566.05,4245.97,4947.587
TOMA,5592.355,4471.4,5185.75,4473.045,4548.885,6148.055,1747.12,2508.105,5290,3403.41,4336.8125
FESC,12915.3961,13796.1533,14941.82823,15609.56892,16308.05398,17058.93103,17809.8742,18680.74757,18183.60208,19088.07335,16439.22288
SWRN,10135.04863,11311.85444,12876.97543,12998.98661,13248.42957,13828.75255,14116.06602,14834.1627,15012.0141,15727.96373,13409.02538
HAY,2235.466472,1704.927919,1328.006977,1672.322789,2060.815778,1979.515767,1522.20174,1829.194344,1829.861358,1653.670815,1781.598396
SNPB,1333.13,1371.14,1464.15,1390.99,1247.25,1420.54,1299.81,1402.16,1474,1346.68,1374.985
WWHT,3493.193939,2378.77,2429.71,3379.283939,3023.303939,3133.470303,3102.776364,2976.536364,3170.525758,3045.018485,3013.258909
